Name,Price,Comment,Shop,Type
香奈儿（Chanel） 香奈儿炫亮魅力丝绒唇膏口红咬唇妆保湿哑光持久不掉色57/99/62 粉邂逅淡香50ml+丝绒系列口红43# 礼盒套装,￥728.00,4.1万+条评价,弗艾美妆专营店,"
闪购
券100-5赠 险"
香奈儿（Chanel） 香奈儿炫亮魅力丝绒唇膏口红咬唇妆保湿哑光持久不掉色57/99/62 丝绒系列42#荧光粉_显眼,￥235.00,4.1万+条评价,弗艾美妆专营店,"
闪购
券100-5赠 险"
玛丽黛佳（MARIEDALGAR）口红/唇膏 唇釉贪心妆 0.8ml*8（多色液体口红 唇膏套装 滋润 持久 显色）,￥69.00,3.9万+条评价,玛丽黛佳京东自营旗舰店,"
自营
闪购
券300-50满199-100赠 "
朱正廷代言完美日记雾色梦境哑光唇釉 防水不易掉色唇彩唇蜜 905野兽派对,￥59.90,1.2万+条评价,完美日记官方旗舰店,"
券1000-100 险"
【专柜正品】Dior迪奥口红女士唇膏 烈艳蓝金520#赠精美礼盒礼袋,￥275.00,28万+条评价,世纪嘉胤个护专营店,"
京东物流
免邮
券599-20 "
【京东好店认证】纪梵希（Givenchy）小羊皮高级定制唇膏口红 304#珊瑚橘红/加州红,￥285.00,8800+条评价,源金美美妆专营店,"
京东物流
免邮
满399-15赠 险"
迪奥 Dior 烈焰蓝金唇膏-哑光红色3.5g 888,￥285.00,13万+条评价,迪奥（Dior）美妆京东自营专区,"
自营
闪购
券1000-100满499-100 "
全球购送泰国唇膏！雅诗兰黛（Estee Lauder） 雅诗兰黛口红333倾慕唇膏杨幂色干枫叶色420 现货333#杨幂干枫叶色,￥243.00,3400+条评价,华婷国际专营店,"
秒杀
券399-10赠 "
迪奥（Dior）口红滋润保湿唇膏 烈艳蓝金口红999# 正红色3.5g【新版哑光】,￥269.00,7.6万+条评价,美伊美,"
京东物流
券1000-100 险"
汤姆福特（TOM FORD）TF口红经典唇膏 黑管16#SCARLET ROUGE复古番茄红,￥379.00,600+条评价,启伦化妆品专营店,"
京东物流
券200-8赠 险"
迪奥 Dior烈焰蓝金唇膏999#金属光,￥285.00,13万+条评价,迪奥（Dior）美妆京东自营专区,"
自营
闪购
券1000-100满499-100 "
妮维雅(NIVEA)星果之恋润唇系列-丝润樱桃4.8G（护唇膏口红前打底唇彩）,￥25.00,1.6万+条评价,妮维雅（NIVEA）京东自营官方旗舰店,"
自营
闪购
券300-50每满199-100 "
香奈儿（Chanel）香奈儿口红 哑光炫亮魅力唇膏 丝绒系列 63 43 57 58 172 176 63 - NIGHTFALL 姨妈色,￥245.00,8000+条评价,妃漫美妆专营店,"
券200-10赠 险"
ZEESEA 滋色保湿口红是非不掉色不沾杯 唇膏滋润姿色枫叶红唇釉唇彩唇蜜套装 803#姨妈红,￥79.00,5.9万+条评价,ZEESEA旗舰店,"
京东物流
免邮
券168-10满148-73赠 险"
【专柜正品】Dior迪奥口红女士唇膏 烈艳蓝金999#哑光夹心赠礼盒礼袋,￥279.00,28万+条评价,世纪嘉胤个护专营店,"
免邮
券599-20赠 "
妮维雅(NIVEA)自然舒润护唇膏柠檬橄榄4.8g（唇部保湿 口红前打底 润唇膏）,￥28.00,13万+条评价,妮维雅（NIVEA）京东自营官方旗舰店,"
自营
闪购
券300-50每满199-100 "
【礼盒包装】汤姆福特（TOM FORD）TF唇膏/口红3g（颜色仅供参考） 黑金16# SCARLET ROUGE,￥369.00,1.2万+条评价,美伊美,"
京东物流
券1000-100 险"
全球购汤姆福特 TOM FORD TF口红 经典黑金唇膏 3g #10 Cherry Lush 玫红（江疏影色）,￥375.00,1.7万+条评价,,"
自营
闪购
满399-50 "
完美日记（PERFECT DIARY）雾色梦境哑光唇釉 906 异乡旅人2.5g（朱正廷代言防水不易掉色平价唇蜜唇彩口红）,￥55.00,4600+条评价,完美日记京东自营旗舰店,"
自营
秒杀
满199-100 "
美康粉黛 丝绒雾面口红不易掉色女士保湿润唇膏唇咬唇妆哑光孕妇口红 浅瑟苏芳,￥39.00,800+条评价,谛伊佳族美妆专营店,"
险"
【领券 满1000减100】魅可（M.A.C） 口红mac子弹头经典女士唇膏3g chili火热小辣椒 秀智款,￥,2100+条评价,启伦美妆专营店,"
京东物流
券105-5赠 险"
✅京东精选 Dior/迪奥烈艳蓝金唇膏女士滋润口红999哑光/888/520/ 999 滋润,￥238.00,700+条评价,美货美铺化妆品专营店,"
秒杀
险"
雅诗兰黛（Estee Lauder）花漾倾慕唇膏23# 3.5g（260# 裸粉色 口红）,￥254.00,3.2万+条评价,雅诗兰黛彩妆京东自营专区,"
自营
闪购
券1000-100满499-100 "
全球购KIKO kiko口红4系唇膏9系升级版豆沙色持久保湿滋润不易脱色414 407 416 407玫瑰木/豆沙色,￥,2万+条评价,购遍全球全球购专营店,"
券458-50赠 "
【专柜正品】魅可mac口红女士唇膏 chili小辣椒赠礼盒礼袋,￥162.00,4.1万+条评价,世纪嘉胤个护专营店,"
京东物流
免邮
券599-20 "
